id,domain,type,created_at,updated_at,user_id,is_active
1,.aaa,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
2,.aarp,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
3,.abarth,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
4,.abb,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
5,.abbott,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
6,.abbvie,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
7,.abc,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
8,.able,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
9,.abogado,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
10,.abudhabi,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
11,.ac,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
12,.academy,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
13,.accenture,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
14,.accountant,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
15,.accountants,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
16,.aco,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
17,.active,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
18,.actor,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
19,.ad,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
20,.adac,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
21,.ads,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
22,.adult,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
23,.ae,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
24,.aeg,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
25,.aero,sponsored,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
26,.aetna,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
27,.af,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
28,.afamilycompany,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
29,.afl,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
30,.africa,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
31,.ag,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
32,.agakhan,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
33,.agency,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
34,.ai,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
35,.aig,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
36,.aigo,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
37,.airbus,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
38,.airforce,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
39,.airtel,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
40,.akdn,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
41,.al,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
42,.alfaromeo,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
43,.alibaba,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
44,.alipay,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
45,.allfinanz,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
46,.allstate,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
47,.ally,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
48,.alsace,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
49,.alstom,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
50,.am,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
51,.amazon,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
52,.americanexpress,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
53,.americanfamily,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
54,.amex,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
55,.amfam,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
56,.amica,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
57,.amsterdam,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
58,.an,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
59,.analytics,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
60,.android,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
61,.anquan,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
62,.anz,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
63,.ao,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
64,.aol,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
65,.apartments,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
66,.app,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
67,.apple,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
68,.aq,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
69,.aquarelle,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
70,.ar,country-code,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
71,.arab,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
72,.aramco,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
73,.archi,generic,2023-09-25 08:04:16,2023-09-25 08:04:16,1,1
