id,name,is_active,created_at,updated_at,configuration_resource_id
1,column,1,9/25/2023 8:04,9/25/2023 8:04,1
2,input,1,9/25/2023 8:04,9/25/2023 8:04,1
3,column,1,9/25/2023 8:04,9/25/2023 8:04,2
4,input,1,9/25/2023 8:04,9/25/2023 8:04,2
5,column,1,9/25/2023 8:04,9/25/2023 8:04,3
6,input,1,9/25/2023 8:04,9/25/2023 8:04,3
7,column,1,9/25/2023 8:04,9/25/2023 8:04,4
8,input,1,9/25/2023 8:04,9/25/2023 8:04,4
9,column,1,9/25/2023 8:04,9/25/2023 8:04,5
10,input,1,9/25/2023 8:04,9/25/2023 8:04,5
11,column,1,9/25/2023 8:04,9/25/2023 8:04,6
12,input,1,9/25/2023 8:04,9/25/2023 8:04,6
13,column,1,9/25/2023 8:04,9/25/2023 8:04,7
14,input,1,9/25/2023 8:04,9/25/2023 8:04,7
15,column,1,9/25/2023 8:04,9/25/2023 8:04,8
16,input,1,9/25/2023 8:04,9/25/2023 8:04,8
17,column,1,9/25/2023 8:04,9/25/2023 8:04,9
18,input,1,9/25/2023 8:04,9/25/2023 8:04,9
19,column,1,9/25/2023 8:04,9/25/2023 8:04,10
20,input,1,9/25/2023 8:04,9/25/2023 8:04,10
21,column,1,9/25/2023 8:04,9/25/2023 8:04,11
22,input,1,9/25/2023 8:04,9/25/2023 8:04,11
23,column,1,9/25/2023 8:04,9/25/2023 8:04,12
24,input,1,9/25/2023 8:04,9/25/2023 8:04,12
25,column,1,9/25/2023 8:04,9/25/2023 8:04,13
26,input,1,9/25/2023 8:04,9/25/2023 8:04,13
27,column,1,9/25/2023 8:04,9/25/2023 8:04,14
28,input,1,9/25/2023 8:04,9/25/2023 8:04,14
29,column,1,9/25/2023 8:04,9/25/2023 8:04,15
30,input,1,9/25/2023 8:04,9/25/2023 8:04,15
31,column,1,9/25/2023 8:04,9/25/2023 8:04,16
32,input,1,9/25/2023 8:04,9/25/2023 8:04,16
33,column,1,9/25/2023 8:04,9/25/2023 8:04,17
34,input,1,9/25/2023 8:04,9/25/2023 8:04,17
35,column,1,9/25/2023 8:04,9/25/2023 8:04,18
36,input,1,9/25/2023 8:04,9/25/2023 8:04,18
37,column,1,9/25/2023 8:04,9/25/2023 8:04,19
38,input,1,9/25/2023 8:04,9/25/2023 8:04,19
39,column,1,9/25/2023 8:04,9/25/2023 8:04,20
40,input,1,9/25/2023 8:04,9/25/2023 8:04,20
41,column,1,9/25/2023 8:04,9/25/2023 8:04,21
42,input,1,9/25/2023 8:04,9/25/2023 8:04,21
43,column,1,9/25/2023 8:04,9/25/2023 8:04,22
44,input,1,9/25/2023 8:04,9/25/2023 8:04,22
45,column,1,9/25/2023 8:04,9/25/2023 8:04,23
46,input,1,9/25/2023 8:04,9/25/2023 8:04,23
47,column,1,9/25/2023 8:04,9/25/2023 8:04,24
48,input,1,9/25/2023 8:04,9/25/2023 8:04,24
