id,instance_model,path,instance_field,value,label,created_at,updated_at,user_id
1,AcceptedDomain,/settings/accepted-domains,type,country-code,country-code,9/25/2023 8:04,9/25/2023 8:04,1
2,AcceptedDomain,/settings/accepted-domains,type,generic,generic,9/25/2023 8:04,9/25/2023 8:04,1
3,AcceptedDomain,/settings/accepted-domains,type,generic-restricted,generic-restricted,9/25/2023 8:04,9/25/2023 8:04,1
4,AcceptedDomain,/settings/accepted-domains,type,infrastructure,infrastructure,9/25/2023 8:04,9/25/2023 8:04,1
5,AcceptedDomain,/settings/accepted-domains,type,local-environment,local-environment,9/25/2023 8:04,9/25/2023 8:04,1
6,AcceptedDomain,/settings/accepted-domains,type,sponsored,sponsored,9/25/2023 8:04,9/25/2023 8:04,1
7,Comment,/management/comments,type,comment,comment,9/25/2023 8:04,9/25/2023 8:04,1
8,Comment,/management/comments,type,reply,reply,9/25/2023 8:04,9/25/2023 8:04,1
9,Comment,/management/comments,status,pending,Pending,9/25/2023 8:04,9/25/2023 8:04,1
10,Comment,/management/comments,status,approved,Approved,9/25/2023 8:04,9/25/2023 8:04,1
11,Comment,/management/comments,status,spam,Spam,9/25/2023 8:04,9/25/2023 8:04,1
12,Comment,/management/comments,status,trashed,Trashed,9/25/2023 8:04,9/25/2023 8:04,1
13,ConfigurationInput,/settings/configuration-inputs,type,number,number,9/25/2023 8:04,9/25/2023 8:04,1
14,ConfigurationInput,/settings/configuration-inputs,type,textarea,textarea,9/25/2023 8:04,9/25/2023 8:04,1
15,ConfigurationInput,/settings/configuration-inputs,type,time,time,9/25/2023 8:04,9/25/2023 8:04,1
16,ConfigurationInput,/settings/configuration-inputs,type,text,text,9/25/2023 8:04,9/25/2023 8:04,1
17,ConfigurationInput,/settings/configuration-inputs,type,password,password,9/25/2023 8:04,9/25/2023 8:04,1
18,ConfigurationInput,/settings/configuration-inputs,type,email,email,9/25/2023 8:04,9/25/2023 8:04,1
19,ConfigurationInput,/settings/configuration-inputs,type,search,search,9/25/2023 8:04,9/25/2023 8:04,1
20,ConfigurationInput,/settings/configuration-inputs,type,tel,tel,9/25/2023 8:04,9/25/2023 8:04,1
21,ConfigurationInput,/settings/configuration-inputs,type,file,file,9/25/2023 8:04,9/25/2023 8:04,1
22,ConfigurationInput,/settings/configuration-inputs,type,url,url,9/25/2023 8:04,9/25/2023 8:04,1
23,ConfigurationInput,/settings/configuration-inputs,type,date,date,9/25/2023 8:04,9/25/2023 8:04,1
24,Content,/management/contents,visibility,published,Published,9/25/2023 8:04,9/25/2023 8:04,1
25,Content,/management/contents,visibility,draft,Draft,9/25/2023 8:04,9/25/2023 8:04,1
26,Content,/management/contents,visibility,scheduled,Scheduled,9/25/2023 8:04,9/25/2023 8:04,1
27,Content,/management/contents,visibility,trashed,Trashed,9/25/2023 8:04,9/25/2023 8:04,1
28,Content,/management/contents,content_type,page,Page,9/25/2023 8:04,9/25/2023 8:04,1
29,Content,/management/contents,content_type,article,Article,9/25/2023 8:04,9/25/2023 8:04,1
30,Media,/management/media,type,images,Images,9/25/2023 8:04,9/25/2023 8:04,1
31,Media,/management/media,type,documents,Documents,9/25/2023 8:04,9/25/2023 8:04,1
32,Media,/management/media,type,videos,Videos,9/25/2023 8:04,9/25/2023 8:04,1
33,Media,/management/media,type,audio,Audio,9/25/2023 8:04,9/25/2023 8:04,1
34,Media,/management/media,type,others,Others,9/25/2023 8:04,9/25/2023 8:04,1
35,Notification,/settings/notifications,type,sms,SMS,9/25/2023 8:04,9/25/2023 8:04,1
36,Notification,/settings/notifications,type,email,Email,9/25/2023 8:04,9/25/2023 8:04,1
37,Notification,/settings/notifications,condition,read,Read,9/25/2023 8:04,9/25/2023 8:04,1
38,Notification,/settings/notifications,condition,create,Create,9/25/2023 8:04,9/25/2023 8:04,1
39,Notification,/settings/notifications,condition,show,Show,9/25/2023 8:04,9/25/2023 8:04,1
40,Notification,/settings/notifications,condition,update,Update,9/25/2023 8:04,9/25/2023 8:04,1
41,Notification,/settings/notifications,condition,delete,Delete,9/25/2023 8:04,9/25/2023 8:04,1
42,Notification,/settings/notifications,condition,restore,Restore,9/25/2023 8:04,9/25/2023 8:04,1
43,Resource,/settings/resources,type,menu,Menu,9/25/2023 8:04,9/25/2023 8:04,1
44,Resource,/settings/resources,type,api,API,9/25/2023 8:04,9/25/2023 8:04,1
