id,type,path,name,component,layout,title,caption,icon,is_active,requires_auth,user_id,created_at,updated_at
1,Menu,/admin,AdminHomePage,pages/admin/AdminHomePage.vue,src/layouts/AdminLayout.vue,admin.home.title,admin.home.description,home,1,1,1,2023-09-15,2023-09-15
2,Menu,/admin/management,AdminManagementPage,pages/admin/AdminManagementPage.vue,src/layouts/AdminLayout.vue,admin.management.title,admin.management.description,group_work,1,1,1,2023-09-15,2023-09-15
3,Menu,/admin/communication,AdminCommunicationPage,pages/admin/AdminCommunicationPage.vue,src/layouts/AdminLayout.vue,admin.communication.title,admin.communication.description,subscriptions,1,1,1,2023-09-15,2023-09-15
4,Menu,/admin/documentation,AdminDocumentationPage,pages/admin/AdminDocumentationPage.vue,src/layouts/AdminLayout.vue,admin.documentation.title,admin.documentation.description,description,1,1,1,2023-09-15,2023-09-15
5,Menu,/admin/settings,AdminSettingPage,pages/admin/AdminSettingPage.vue,src/layouts/AdminLayout.vue,admin.settings.title,admin.settings.description,settings,1,1,1,2023-09-15,2023-09-15
6,API,/admin/management,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
7,API,/admin/management/contents,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
8,API,/admin/management/tags,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
9,API,/admin/management/media,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
10,API,/admin/management/comments,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
11,API,/admin/management/appreciations,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
12,API,/admin/communication,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
13,API,/admin/communication/contact,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
14,API,/admin/communication/contact/subjects,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
15,API,/admin/communication/contact/messages,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
16,API,/admin/communication/newsletter,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
17,API,/admin/communication/newsletter/campaigns,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
18,API,/admin/communication/newsletter/subscribers,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
19,API,/admin/settings,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
20,API,/admin/settings/users,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
21,API,/admin/settings/roles,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
22,API,/admin/settings/resources,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
23,API,/admin/settings/general,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
24,API,/admin/settings/accepted-domains,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
25,API,/admin/settings/notifications,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
26,API,/admin/settings/templates,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
27,API,/admin/settings/configuration/resources/get-id,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
28,API,/admin/settings/configuration/resources,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
29,API,/admin/settings/configuration/types,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
30,API,/admin/settings/configuration/columns,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
31,API,/admin/settings/configuration/inputs,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
32,API,/admin/settings/configuration/options,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
33,API,/client,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
34,API,/client/subscribe,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
35,API,/client/unsubscribe,null,null,null,null,null,null,1,1,1,2023-09-15,2023-09-15
